time,x,y,
1728360285.7560022,3,202
1728360285.7644763,18,214
1728360285.7725036,36,227
1728360285.7795064,55,238
1728360285.7865074,81,251
1728360285.8025064,113,265
1728360285.8035035,154,278
1728360285.810512,202,292
1728360285.8165064,258,301
1728360285.8255062,321,311
1728360285.832506,389,316
1728360285.8405056,465,321
1728360285.8475084,543,323
1728360285.8545036,621,323
1728360285.861509,702,323
1728360285.8695068,779,323
1728360285.8775096,850,323
1728360285.8855069,915,323
1728360285.89151,972,323
1728360285.899511,1023,323
1728360285.9065063,1064,323
1728360285.914507,1094,323
1728360285.9215097,1119,323
1728360285.9295042,1138,321
1728360285.9375136,1154,318
1728360285.9445062,1166,316
1728360285.952509,1177,313
1728360285.959506,1178,312
1728360285.9665077,1179,312
1728360286.0115037,1179,312
1728360286.0195081,1177,312
1728360286.0275068,1173,312
1728360286.035506,1168,312
1728360286.0425115,1160,311
1728360286.0495086,1146,308
1728360286.0565083,1124,304
1728360286.0645032,1094,296
1728360286.0715075,1051,288
1728360286.0805078,1001,279
1728360286.0865085,945,269
1728360286.095507,882,257
1728360286.1025097,812,245
1728360286.109508,739,229
1728360286.11651,661,211
1728360286.1255035,584,191
1728360286.131508,506,167
1728360286.1395094,428,144
1728360286.1475058,353,118
1728360286.1545067,282,93
1728360286.1615074,217,68
1728360286.1695096,155,45
1728360286.1775064,100,26
1728360286.1845083,56,13
1728360286.1915078,22,3
1728360286.19951,-1,-2
1728360286.2065077,-15,-3
1728360286.214507,-11,-1
1728360286.222507,0,-1
1728360286.2295077,-1,-1
1728360286.2375073,0,-3
1728360286.2445118,3,-2
1728360286.2525074,9,-3
1728360286.2595105,23,-4
1728360286.2665088,42,-5
1728360286.2745094,65,-5
1728360286.2825067,95,-5
1728360286.2895098,124,-4
1728360286.2965074,157,-6
1728360286.3045053,186,-3
1728360286.4095066,199,-2
1728360286.416505,209,0
1728360286.4245074,221,0
1728360286.4325073,234,1
1728360286.4395063,248,2
1728360286.4475107,261,6
1728360286.4545047,277,10
1728360286.4615076,294,16
1728360286.4695058,312,22
1728360286.4765074,330,30
1728360286.4845083,350,41
1728360286.4915125,370,53
1728360286.4995062,385,65
1728360286.5065076,397,76
1728360286.5145051,405,85
1728360286.5227487,405,86
1728360286.5295076,405,86
1728360286.536508,403,86
1728360286.5435066,398,86
1728360286.5515072,394,86
1728360286.559507,389,86
1728360286.5675063,381,86
1728360286.5745082,369,86
1728360286.582512,356,86
1728360286.589508,339,86
1728360286.5965068,317,86
1728360286.6035082,286,86
1728360286.611504,242,86
1728360286.619511,191,86
1728360286.626505,130,84
1728360286.6355045,58,80
1728360286.6415093,-25,72
1728360286.650513,-96,66
1728360286.6575043,-175,57
1728360286.6645064,-262,48
1728360286.671505,-352,39
1728360286.6805093,-442,31
1728360286.687508,-535,20
1728360286.6945062,-628,9
1728360286.7015452,-721,-3
1728360286.709949,-809,-10
1728360286.7170892,-896,-11
1728360286.72457,-978,-9
1728360286.7329378,-1058,-6
1728360286.7393336,-1137,-7
1728360286.7468626,-1207,-4
1728360286.7548614,-1273,-2
1728360286.7618608,-1330,-2
1728360286.7698743,-1376,-2
1728360286.7768757,-1413,-3
1728360286.7848742,-1434,-5
1728360286.793876,-1435,-2
1728360286.7998736,-1435,-1
1728360286.8068764,-1431,-3
1728360286.8148756,-1425,-2
1728360286.972077,-1425,0
1728360286.9801419,-1424,1
1728360286.9871836,-1423,4
1728360286.9961824,-1421,8
1728360287.002183,-1419,15
1728360287.009183,-1419,22
1728360287.0171797,-1419,26
1728360287.0251853,-1421,30
1728360287.0331824,-1426,32
1728360287.0391815,-1432,34
1728360287.047187,-1439,36
1728360287.0541892,-1446,38
1728360287.062183,-1451,39
1728360287.0701814,-1457,41
1728360287.0771856,-1458,42
1728360287.0851843,-1460,44
1728360287.0921826,-1462,46
1728360287.099183,-1465,49
1728360287.1071856,-1469,54
1728360287.1151826,-1473,60
1728360287.122187,-1478,67
1728360287.1291847,-1482,75
1728360287.1371827,-1486,82
1728360287.1451843,-1490,89
1728360287.1521835,-1493,96
1728360287.1591835,-1495,103
1728360287.1661816,-1497,110
1728360287.1751826,-1498,117
1728360287.1821835,-1499,123
1728360287.1911848,-1500,128
1728360287.1981857,-1501,135
1728360287.205181,-1501,142
1728360287.212181,-1501,149
1728360287.219186,-1500,155
1728360287.2271855,-1498,160
1728360287.235181,-1496,165
1728360287.242186,-1492,168
1728360287.2491858,-1489,170
1728360287.2571874,-1483,173
1728360287.2641838,-1476,175
1728360287.2721832,-1466,177
1728360287.280187,-1454,180
1728360287.287188,-1441,181
1728360287.2941842,-1424,182
1728360287.3021805,-1406,184
1728360287.3091836,-1392,185
1728360287.3171847,-1378,187
1728360287.3251805,-1368,187
1728360287.332183,-1360,187
1728360287.3391867,-1358,187
1728360287.3471837,-1358,186
1728360287.3771832,-1357,186
1728360287.3851829,-1356,186
1728360287.3921824,-1354,186
1728360287.4001842,-1353,186
1728360287.407182,-1351,185
1728360287.4141796,-1350,185
1728360287.4211793,-1348,184
1728360287.430086,-1347,184
1728360287.4371858,-1346,182
1728360287.4441843,-1345,182
1728360287.4511826,-1344,181
1728360287.459185,-1343,181
1728360287.4671795,-1342,180
1728360287.4741862,-1339,178
1728360287.4831886,-1336,178
1728360287.4892561,-1333,177
